1#Larissa Pires Batista#Theo Batista do Nascimento#Maria Alice Pires de Souza#Rua Pietro Santos  , nº37#11.640.885-7#(11) 95233-7581#Larissa.Batista@coutinhos.com.br#R$2500.00#Marketing
23#Luiza Oliveira Henrique#Theo Henrique  #Milena Oliveira  #Praça Antonio Lima  , nº1900#27.771.146-6#(11) 92546-3083#Luiza.Henrique@coutinhos.com.br#R$1600.00#Marketing
24#Caio Goncalves Conti#Antonhy Conti da Cunha#Lais Goncalves de Luca#Rua Adriano Gladys  , nº1149#87.629.762-9#(11) 96518-2154#Caio.Conti@coutinhos.com.br#R$3900.00#Recursos Humanos
25#Isac Costa Gladys#Joao Gladys da Silva#Eloa Costa  #Rua Leticia Sousa  , nº1096#82.982.200-9#(11) 97530-5369#Isac.Gladys@coutinhos.com.br#R$4500.00#Contabilidade
26#Leonardo Ferrari Bezerra#Rodrigo Bezerra  #Gabriela Ferrari de Oliveira#Rua Gabriel Santana de Souza, nº1888#34.164.889-1#(11) 92922-3100#Leonardo.Bezerra@coutinhos.com.br#R$3300.00#Financeiro
27#Murilo Silveira Pinheiro#Felipe Pinheiro dos Anjos#Ana Cecília Silveira de Andrade#Rua Bryan Ramos de Carvalho, nº389#22.523.273-4#(11) 95522-4927#Murilo.Pinheiro@coutinhos.com.br#R$1900.00#Comercial
28#Matheus Russo Viana#Arthur Gabriel Viana de Luca#Cecilia Russo  #Alameda Gustavo Cruz de Andrade, nº456#36.832.551-6#(11) 93354-8251#Matheus.Viana@coutinhos.com.br#R$4700.00#Recursos Humanos
29#Benicio Cavalcante Lopes#Lucas Gabriel Lopes de Carvalho#Catarina Cavalcante da Cunha#Praça Heloísa Alves  , nº971#51.316.505-7#(11) 98607-3941#Benicio.Lopes@coutinhos.com.br#R$3500.00#Marketing
30#Giovanna Teixeira Lima#Erick Lima de Souza#Malu Teixeira  #Travessa Bento Duarte  , nº2298#38.506.134-5#(11) 98370-5902#Giovanna.Lima@coutinhos.com.br#R$3400.00#Administrativo
31#Kesley Oliveira Pereira#Mathias Pereira  #Isabel Oliveira de Paula#Alameda Sarah Viana  , nº499#10.697.598-1#(11) 97568-2770#Kesley.Pereira@coutinhos.com.br#R$2500.00#Marketing
32#Waldecir Moraes Melo#Bryan Melo  #Maria Isis Moraes  #Rua Luna Aparecido dos Santos, nº1817#79.624.402-1#(11) 92350-2298#Waldecir.Melo@coutinhos.com.br#R$3900.00#Comercial
33#Ana Silva Mendes#Luiz Miguel Mendes de Almeida#Maria Heloisa Silva  #Rua Esther Pires  , nº1916#43.480.627-8#(11) 93330-3330#Ana.Mendes@coutinhos.com.br#R$4800.00#Financeiro
34#Marina Jhonatta Alves#Joao Pedro Alves  #Liz Jhonatta  #Avenida Benicio Souza  , nº590#59.249.937-3#(11) 95063-5580#Marina.Alves@coutinhos.com.br#R$4500.00#Administrativo
35#Lorenzo Machado Bezerra#Breno Bezerra dos Anjos#Marina Machado da Costa#Travessa Agatha Barbieri  , nº1685#74.198.217-6#(11) 99575-9657#Lorenzo.Bezerra@coutinhos.com.br#R$3700.00#Comercial
36#Lorenzo Sousa Moura#Henry Moura da Silva#Isadora Sousa da Cunha#Alameda Matheus Bezerra do Nascimento, nº2280#25.285.543-7#(11) 94648-5160#Lorenzo.Moura@coutinhos.com.br#R$4500.00#Recursos Humanos
37#Antonella Gomes Farias#Raul Farias da Conceicao#Louise Gomes de Luca#Travessa Sarah Alves do Nascimento, nº813#18.605.896-2#(11) 94725-7900#Antonella.Farias@coutinhos.com.br#R$2800.00#Financeiro
38#Agatha Mariani Colombo#Antonio Colombo de Almeida#Maite Mariani  #Rua Wylliam Ferrari da Cruz, nº1441#93.307.482-2#(11) 93934-1346#Agatha.Colombo@coutinhos.com.br#R$4400.00#Administrativo
39#Leonardo Teixeira Pinto#Matteo Pinto de Sousa#Joana Teixeira do Carmo#Rua Giovanna Bianchi  , nº1802#86.359.614-4#(11) 95093-5075#Leonardo.Pinto@coutinhos.com.br#R$2700.00#Comercial
40#Silvanio Moreira Rodrigues#Arthur Gabriel Rodrigues  #Rebeca Moreira  #Rua Ana Andrade  , nº1074#33.654.752-9#(11) 97744-5829#Silvanio.Rodrigues@coutinhos.com.br#R$2000.00#Marketing
41#Isadora Jhonatta Farias#Samuel Farias  #Luiza Jhonatta  #Rua Yasmin Nascimento da Rocha, nº1558#54.151.511-3#(11) 93298-8178#Isadora.Farias@coutinhos.com.br#R$2800.00#Comercial
42#Emanuel Coutinho Gladys#Rafael Gladys  #Giovanna Coutinho da Rocha#Travessa Maria Silveira dos Santos, nº1631#26.188.900-5#(11) 93353-7587#Emanuel.Gladys@coutinhos.com.br#R$3900.00#Financeiro
43#Matheus Cavalcante Mariani#Davi Lucca Mariani  #Ana Livia Cavalcante da Costa#Alameda Pedro Mancini  , nº1915#56.784.885-7#(11) 94988-9802#Matheus.Mariani@coutinhos.com.br#R$2900.00#Estoque
44#Enzo Carvalho Alves#Kaue Alves  #Maria Helena Carvalho  #Avenida Isadora Marino de Jesus, nº100#21.837.989-5#(11) 97175-4456#Enzo.Alves@coutinhos.com.br#R$2900.00#Marketing
45#Felipe Nascimento Silva#Pedro Silva  #Analu Nascimento de Lima#Avenida Liz Miranda  , nº2065#75.635.771-5#(11) 99220-3466#Felipe.Silva@coutinhos.com.br#R$4700.00#Comercial
46#Livia Barros Cardoso#Matteo Cardoso  #Eloa Barros de Freitas#Travessa Kaique Gladys  , nº392#14.342.776-2#(11) 94043-7637#Livia.Cardoso@coutinhos.com.br#R$4800.00#Administrativo
47#Sophia Andrade Moreira#Levi Moreira  #Isabel Andrade de Castro#Rua Felipe Fernandes dos Santos, nº1795#53.366.586-1#(11) 91425-4599#Sophia.Moreira@coutinhos.com.br#R$3600.00#Financeiro
48#Felipe Vieira Cavalcante#Icaro Cavalcante  #Maria Cecilia Vieira de Carvalho#Avenida Lucilia Dantas  , nº2158#59.504.630-3#(11) 95051-4126#Felipe.Cavalcante@coutinhos.com.br#R$4200.00#Administrativo
49#Julia Moraes Ricci#Guilherme Ricci  #Lara Moraes da Cruz#Praça Pietro Farias da Cruz, nº219#92.276.826-5#(11) 99865-6439#Julia.Ricci@coutinhos.com.br#R$2900.00#Contabilidade
50#Gabriela Pinheiro Cavalcante#Noah Cavalcante dos Anjos#Maria Sophia Pinheiro  #Alameda Waldecir Rodrigues  , nº2290#22.288.121-6#(11) 95141-1520#Gabriela.Cavalcante@coutinhos.com.br#R$3600.00#Recursos Humanos
51#Leonardo Bianchi Rossi#Davi Rossi dos Reis#Laura Bianchi de Assis#Avenida Eliane Alves do Nascimento, nº1417#92.294.100-2#(11) 91305-7657#Leonardo.Rossi@coutinhos.com.br#R$4900.00#Administrativo
52#Anderson Cardoso Leite#Daniel Leite  #Emilly Cardoso de Oliveira#Alameda Benjamin Reis de Melo, nº1932#97.911.992-6#(11) 98398-4055#Anderson.Leite@coutinhos.com.br#R$4500.00#Administrativo
53#Elisa Rizzo Rodrigues#Gustavo Rodrigues dos Anjos#Bella Rizzo  #Alameda Isabelly Marques de Lima, nº2406#51.311.836-4#(11) 94949-7962#Elisa.Rodrigues@coutinhos.com.br#R$4700.00#Administrativo
54#Lucas Duarte Lombardi#Joao Lucas Lombardi da Costa#Elisa Duarte dos Santos#Alameda Vinicius Gomes de Sousa, nº1821#42.155.925-4#(11) 92190-6607#Lucas.Lombardi@coutinhos.com.br#R$4700.00#Estoque
55#Agatha Batista Colombo#Vicente Colombo  #Maria Fernanda Batista  #Avenida Enzo Coelho da Cruz, nº1604#85.826.576-1#(11) 91267-5070#Agatha.Colombo@coutinhos.com.br#R$2100.00#Estoque
56#Nicolas Coutinho Coutinho#Ravi Coutinho  #Bella Coutinho da Cunha#Alameda Augusto Moretti  , nº1152#74.795.643-3#(11) 98319-8006#Nicolas.Coutinho@coutinhos.com.br#R$3200.00#Estoque
57#Silvanio Batista Machado#Davi Lucas Machado da Costa#Sarah Batista  #Alameda Adriano Correia dos Reis, nº1767#86.944.655-8#(11) 95371-2118#Silvanio.Machado@coutinhos.com.br#R$3100.00#Recursos Humanos
58#Agatha Garcia Dantas#Pedro Miguel Dantas da Silva#Maria Clara Garcia de Paula#Alameda Bryan Duarte de Oliveira, nº175#96.933.392-8#(11) 98974-2576#Agatha.Dantas@coutinhos.com.br#R$4200.00#Contabilidade
59#Giovanna Souza Pereira#Thomas Pereira  #Esther Souza da Costa#Rua Laura Gomes da Silva, nº1572#32.902.805-6#(11) 98554-6762#Giovanna.Pereira@coutinhos.com.br#R$3400.00#Contabilidade
60#Gabriela Gladys Gladys#Otavio Gladys de Lima#Eloa Gladys  #Praça Bento Leite  , nº989#66.827.810-6#(11) 99250-2391#Gabriela.Gladys@coutinhos.com.br#R$4700.00#Comercial
61#Lucca Henrique Coutinho#Pedro Lucas Coutinho dos Santos#Pietra Henrique da Costa#Alameda Nicolas Miranda  , nº1041#62.291.323-8#(11) 97588-5396#Lucca.Coutinho@coutinhos.com.br#R$2300.00#Financeiro
62#Pedro Pires Giordano#Rodrigo Giordano  #Ana Luiza Pires  #Rua Benjamin Siqueira  , nº575#48.901.735-1#(11) 98880-6167#Pedro.Giordano@coutinhos.com.br#R$4300.00#Recursos Humanos
63#Vicente Moura Greco#Mathias Greco  #Alice Moura de Melo#Travessa Pietro Melo de Melo, nº1211#37.741.869-3#(11) 99525-4762#Vicente.Greco@coutinhos.com.br#R$3200.00#Administrativo
64#Isac Alves Monteiro#Davi Lucas Monteiro  #Isabella Alves do Carmo#Travessa Nicolas Esposito de Melo, nº1311#89.654.174-2#(11) 97266-1434#Isac.Monteiro@coutinhos.com.br#R$2000.00#Financeiro
65#Arthur Dias Ramos#Theo Ramos de Castro#Larissa Dias de Souza#Rua Samuel Araujo  , nº971#78.619.820-5#(11) 97205-1792#Arthur.Ramos@coutinhos.com.br#R$1700.00#Recursos Humanos
66#Samuel Barbosa Esposito#Pedro Lucas Esposito  #Fernanda Barbosa de Paula#Praça Caio Tavares  , nº537#29.395.804-6#(11) 94336-9614#Samuel.Esposito@coutinhos.com.br#R$1500.00#Administrativo
67#Enzo Conceicao Pinheiro#Theo Pinheiro  #Maria Julia Conceicao da Silva#Avenida Sophia Pinheiro de Sousa, nº97#21.797.687-5#(11) 95705-7283#Enzo.Pinheiro@coutinhos.com.br#R$1800.00#Estoque
68#Kaique Leite Conceicao#Joao Vitor Conceicao da Cunha#Antonella Leite de Sousa#Avenida Heitor Henrique de Almeida, nº589#23.215.601-5#(11) 93252-6079#Kaique.Conceicao@coutinhos.com.br#R$3800.00#Recursos Humanos
69#Cecilia Cavalcante Andrade#Heitor Andrade  #Carolina Cavalcante  #Alameda Isadora Moretti  , nº574#83.381.925-9#(11) 91168-3672#Cecilia.Andrade@coutinhos.com.br#R$4500.00#Estoque
70#Eduardo Rizzo Soares#Breno Soares de Assis#Ana Sophia Rizzo  #Rua Felipe Pinto de Oliveira, nº1699#30.334.800-4#(11) 93079-3744#Eduardo.Soares@coutinhos.com.br#R$4000.00#Marketing
71#Luna Araujo Tavares#Henry Tavares  #Marina Araujo de Carvalho#Travessa Helena Cruz  , nº2011#56.162.895-7#(11) 92573-7354#Luna.Tavares@coutinhos.com.br#R$2400.00#Recursos Humanos
72#Miguel Araujo Campos#Mathias Campos  #Ana Liz Araujo  #Rua Maria Borges dos Anjos, nº1990#67.865.937-9#(11) 95524-6759#Miguel.Campos@coutinhos.com.br#R$3200.00#Estoque
73#Lorenzo Mariani Campos#Samuel Campos  #Gabriela Mariani da Costa#Alameda Elisa Ricci do Carmo, nº1882#56.326.599-5#(11) 99808-8969#Lorenzo.Campos@coutinhos.com.br#R$4300.00#Recursos Humanos
74#Luiza Mancini Pinto#Bryan Pinto  #Maria Julia Mancini  #Rua Alice Dantas do Carmo, nº502#46.553.182-5#(11) 92428-3854#Luiza.Pinto@coutinhos.com.br#R$4100.00#Estoque
75#Maria Mancini Viana#Vicente Viana  #Liz Mancini  #Rua Yasmin Goncalves  , nº2302#79.706.527-6#(11) 92261-2930#Maria.Viana@coutinhos.com.br#R$4300.00#Marketing
76#Bernardo Dias Conti#Valentim Conti  #Alicia Dias  #Praça Cecilia Medeiros de Andrade, nº1026#21.795.634-4#(11) 99001-6607#Bernardo.Conti@coutinhos.com.br#R$2500.00#Financeiro
77#Alicia Siqueira Moreira#Caleb Moreira  #Maria Vitoria Siqueira  #Travessa Luiza Farias  , nº263#37.516.298-1#(11) 96672-8821#Alicia.Moreira@coutinhos.com.br#R$4400.00#Financeiro
78#Isabella Rizzo Oliveira#Murilo Oliveira de Oliveira#Maria Vitoria Rizzo dos Anjos#Travessa Larissa Dantas  , nº1302#31.793.746-7#(11) 91868-3287#Isabella.Oliveira@coutinhos.com.br#R$4800.00#Contabilidade
79#Bryan Borges Cruz#Pedro Cruz de Luca#Eduarda Borges de Freitas#Avenida Antonella Garcia do Carmo, nº2420#73.147.609-3#(11) 97542-1201#Bryan.Cruz@coutinhos.com.br#R$2900.00#Marketing
80#Ana Silva Viana#Eduardo Viana  #Elisa Silva de Lima#Rua Vicente Neves  , nº2103#97.509.458-3#(11) 91689-6220#Ana.Viana@coutinhos.com.br#R$2100.00#Comercial
81#Liz Ferrari Rizzo#Arturo Rizzo  #Maria Helena Ferrari de Castro#Travessa Samuel Correia de Sousa, nº1681#14.446.675-8#(11) 95292-9219#Liz.Rizzo@coutinhos.com.br#R$2300.00#Financeiro
82#Emanuel Gladys Moura#Lucca Moura  #Manuela Gladys  #Travessa Alicia Siqueira  , nº1135#42.424.247-2#(11) 98968-8872#Emanuel.Moura@coutinhos.com.br#R$4500.00#Marketing
83#Emanuel Borges Martins#Otavio Martins de Assis#Milena Borges  #Praça Nicolas Romano  , nº564#80.676.829-3#(11) 94277-1841#Emanuel.Martins@coutinhos.com.br#R$1500.00#Estoque
84#Eduardo Cardoso Santoro#Ryan Santoro  #Joana Cardoso  #Rua Daniel Aparecido  , nº1744#66.330.475-2#(11) 94560-7378#Eduardo.Santoro@coutinhos.com.br#R$2800.00#Financeiro
85#Nicolas Dias Medeiros#Josue Medeiros do Nascimento#Maria Clara Dias de Andrade#Avenida Matheus Brito dos Reis, nº522#62.587.760-2#(11) 96257-5087#Nicolas.Medeiros@coutinhos.com.br#R$2200.00#Administrativo
86#Emanuelly Batista Henrique#Benicio Henrique de Lima#Carolina Batista de Oliveira#Alameda Murilo Lopes da Cruz, nº717#36.162.444-2#(11) 91629-2891#Emanuelly.Henrique@coutinhos.com.br#R$2500.00#Estoque
87#Eloa Correa Silveira#Tomás Silveira  #Stella Correa de Luca#Alameda Sarah Guimaraes de Freitas, nº518#52.579.576-4#(11) 97341-2509#Eloa.Silveira@coutinhos.com.br#R$3900.00#Recursos Humanos
88#Heitor Henrique Pires#Vicente Pires  #Maria Vitoria Henrique  #Avenida Luna Goncalves de Andrade, nº2433#45.340.477-9#(11) 96685-7710#Heitor.Pires@coutinhos.com.br#R$4600.00#Estoque
89#Miguel Cardoso Pereira#Otavio Pereira  #Manuela Cardoso de Melo#Travessa Bernardo Barbosa da Cruz, nº15#65.922.118-8#(11) 94174-3130#Miguel.Pereira@coutinhos.com.br#R$4200.00#Recursos Humanos
90#Giovanna Dias Neves#Nathan Neves  #Mariah Dias  #Avenida Sarah Sousa do Carmo, nº310#63.515.792-3#(11) 96495-1129#Giovanna.Neves@coutinhos.com.br#R$2800.00#Contabilidade
91#Lorenzo Dias Leite#Davi Lucca Leite  #Maria Fernanda Dias  #Alameda Joaquim Machado de Sousa, nº1820#18.664.189-8#(11) 94623-2715#Lorenzo.Leite@coutinhos.com.br#R$3900.00#Recursos Humanos
92#Maria Pinheiro Rossi#Joao Rossi  #Pietra Pinheiro  #Praça Gabriel Rodrigues  , nº556#62.650.200-4#(11) 92707-7307#Maria.Rossi@coutinhos.com.br#R$4700.00#Contabilidade
93#Emanuelly Rizzo Ferrari#Augusto Ferrari do Nascimento#Maite Rizzo  #Travessa Nicole Teixeira  , nº896#37.363.203-1#(11) 94588-9791#Emanuelly.Ferrari@coutinhos.com.br#R$3400.00#Estoque
94#Vitoria Marino Moraes#Davi Moraes  #Esther Marino da Cruz#Alameda Lucas Monteiro dos Reis, nº27#56.620.741-2#(11) 94413-3781#Vitoria.Moraes@coutinhos.com.br#R$3200.00#Financeiro
95#Mariana Russo Gallo#Theodoro Gallo da Rocha#Isabelly Russo de Carvalho#Praça Caio Braga da Conceicao, nº1937#59.557.444-9#(11) 94997-1078#Mariana.Gallo@coutinhos.com.br#R$4600.00#Contabilidade
96#Anderson Cruz Ribeiro#Pedro Ribeiro da Costa#Sophia Cruz  #Praça Theo Bezerra  , nº1052#56.481.235-3#(11) 91630-2851#Anderson.Ribeiro@coutinhos.com.br#R$4600.00#Estoque
97#Yasmin Lima Barbieri#Davi Barbieri  #Luiza Lima de Sousa#Rua Marina Moura  , nº2277#47.462.722-2#(11) 97269-3495#Yasmin.Barbieri@coutinhos.com.br#R$2900.00#Marketing
98#Silvanio Marino Rizzo#Otavio Rizzo dos Santos#Malu Marino de Sousa#Alameda Lorenzo Rocha  , nº718#66.436.131-9#(11) 96195-8391#Silvanio.Rizzo@coutinhos.com.br#R$2700.00#Marketing
99#Leticia Bezerra Gallo#Hugo Gallo  #Leticia Bezerra de Sousa#Rua Felipe Carneiro do Carmo, nº653#97.305.531-4#(11) 95332-6346#Leticia.Gallo@coutinhos.com.br#R$3300.00#Estoque
100#Isabella Medeiros Ribeiro#Jose Ribeiro de Andrade#Isabella Medeiros  #Rua Mariana Marques da Cruz, nº720#92.661.979-3#(11) 96699-7692#Isabella.Ribeiro@coutinhos.com.br#R$1900.00#Recursos Humanos
101#Matheus Pires Santana#Samuel Santana  #Allana Pires  #Praça Esther Cordeiro da Rocha, nº2017#38.624.904-1#(11) 94908-3799#Matheus.Santana@coutinhos.com.br#R$3000.00#Financeiro
102#Luiza Giordano Duarte#Isac Duarte de Araujo#Pietra Giordano de Lima#Travessa Giovanna Mariani  , nº991#63.867.903-1#(11) 92641-1524#Luiza.Duarte@coutinhos.com.br#R$3600.00#Comercial
103#Maite Nascimento Neves#Lorenzo Neves da Costa#Beatriz Nascimento de Freitas#Praça Miguel Dantas do Nascimento, nº2116#25.878.132-8#(11) 93170-7540#Maite.Neves@coutinhos.com.br#R$3200.00#Estoque
104#Davi Souza Giordano#Caio Giordano  #Maria Julia Souza  #Avenida Eliane Carneiro dos Reis, nº2482#91.271.529-9#(11) 92726-5999#Davi.Giordano@coutinhos.com.br#R$3900.00#Administrativo
105#Arthur Bianchi Medeiros#Valentim Medeiros  #Aurora Bianchi  #Alameda Livia Santoro  , nº1237#95.193.149-1#(11) 92229-2801#Arthur.Medeiros@coutinhos.com.br#R$2400.00#Marketing
106#Ketylin Romano Mendes#Kaue Mendes de Sousa#Rebeca Romano de Lima#Praça Anderson Aparecido de Araujo, nº1050#38.490.305-1#(11) 97362-5908#Ketylin.Mendes@coutinhos.com.br#R$3300.00#Estoque
107#Helena Dantas Bianchi#Otavio Bianchi de Almeida#Heloisa Dantas  #Praça Anthony Alves dos Santos, nº1259#26.625.233-4#(11) 99194-2440#Helena.Bianchi@coutinhos.com.br#R$1700.00#Estoque
108#Vicente Martins Braga#Davi Lucca Braga de Freitas#Maria Luiza Martins  #Travessa Valentina Barbosa de Melo, nº159#80.344.761-8#(11) 99964-4323#Vicente.Braga@coutinhos.com.br#R$2100.00#Estoque
109#Bryan Cardoso Moura#Pietro Moura do Carmo#Maite Cardoso  #Avenida Waldecir Teixeira  , nº408#88.797.769-2#(11) 92711-3383#Bryan.Moura@coutinhos.com.br#R$4200.00#Financeiro
110#Guilherme Mancini Machado#Flavio Machado  #Alice Mancini  #Praça Caleb Silva  , nº159#37.804.680-5#(11) 96291-1605#Guilherme.Machado@coutinhos.com.br#R$3100.00#Administrativo
111#Samuel Cardoso Guimaraes#Theodoro Guimaraes de Assis#Maria Sophia Cardoso  #Alameda Enzo Andrade de Paula, nº1390#92.998.686-5#(11) 96503-2921#Samuel.Guimaraes@coutinhos.com.br#R$2900.00#Estoque
112#Eduardo Dantas Fontana#Arthur Gabriel Fontana de Andrade#Laura Dantas  #Avenida Lorena Costa  , nº1689#73.262.331-3#(11) 91356-1290#Eduardo.Fontana@coutinhos.com.br#R$4400.00#Comercial
113#Larissa Martins Vieira#Kaue Vieira  #Ana Julia Martins  #Travessa Rebeca Silva  , nº2207#78.193.809-3#(11) 94433-2244#Larissa.Vieira@coutinhos.com.br#R$1600.00#Contabilidade
114#Manuela Siqueira Silva#Miguel Silva  #Luna Siqueira  #Praça Marina Henrique de Oliveira, nº550#25.680.417-1#(11) 96633-2462#Manuela.Silva@coutinhos.com.br#R$4600.00#Marketing
115#Pietro Dias Carvalho#Enrico Carvalho  #Ana Luiza Dias dos Santos#Praça Isabelly Romano de Paula, nº2261#65.821.544-3#(11) 98040-3025#Pietro.Carvalho@coutinhos.com.br#R$3100.00#Marketing
116#Pedro Santana Coutinho#Bruno Coutinho  #Ana Santana  #Alameda Sarah Aparecido  , nº97#78.514.604-4#(11) 92597-8020#Pedro.Coutinho@coutinhos.com.br#R$2200.00#Recursos Humanos
117#Davi Barbieri Araujo#Luan Araujo  #Beatriz Barbieri dos Reis#Avenida Isac Barbosa  , nº1465#13.214.162-9#(11) 91186-7752#Davi.Araujo@coutinhos.com.br#R$4600.00#Financeiro
118#Lavinia Garcia Tavares#Rodrigo Tavares  #Amanda Garcia  #Avenida Anderson Neves de Jesus, nº2443#21.114.502-4#(11) 93544-1167#Lavinia.Tavares@coutinhos.com.br#R$2700.00#Estoque
119#Samuel Russo Leite#Antonhy Leite dos Anjos#Ana Vitoria Russo  #Avenida Cecilia Gladys da Cunha, nº199#33.779.422-9#(11) 91349-3990#Samuel.Leite@coutinhos.com.br#R$4700.00#Comercial
120#Kaique Braga Guimaraes#Theodoro Guimaraes dos Anjos#Analu Braga do Carmo#Praça Isadora Leite da Cruz, nº1369#22.174.719-9#(11) 98142-4839#Kaique.Guimaraes@coutinhos.com.br#R$2300.00#Marketing
121#Emanuelly Jhonatta Fontana#Vinicius Fontana  #Alicia Jhonatta de Araujo#Praça Nicole Neves da Silva, nº489#64.388.937-6#(11) 99748-6320#Emanuelly.Fontana@coutinhos.com.br#R$2000.00#Comercial
122#Augusto Pires Ribeiro#Joao Pedro Ribeiro de Souza#Carolina Pires  #Rua Julia Neves  , nº395#16.517.273-2#(11) 94541-3501#Augusto.Ribeiro@coutinhos.com.br#R$2700.00#Comercial
123#Emanuelly Tavares Tavares#Vitor Tavares dos Anjos#Ana Clara Tavares da Rocha#Travessa Ana Martins  , nº1841#47.311.428-3#(11) 94225-6196#Emanuelly.Tavares@coutinhos.com.br#R$3900.00#Comercial
124#Pedro Esposito Pires#Jose Pires da Costa#Livia Esposito de Carvalho#Avenida Isabelly Mancini da Cruz, nº129#93.111.194-8#(11) 95171-9586#Pedro.Pires@coutinhos.com.br#R$2500.00#Comercial
